"year" "statefip" "pop_nedus_stem_grad" "emp_nedus_stem_grad" "pop_nedus_stem_coll" "emp_nedus_stem_coll" "pop_edus_stem_grad" "emp_edus_stem_grad" "pop_edus_stem_coll" "emp_edus_stem_coll" "pop_nedus_grad" "pop_edus_grad" "pop_nedus_coll" "pop_edus_coll" "emp_nedus_grad" "emp_edus_grad" "emp_nedus_coll" "emp_edus_coll" "emp_native_coll" "emp_native_grad" "emp_immig_coll" "emp_immig_grad" "emp_total_coll" "emp_total_grad" "emp_native" "emp_immig" "emp_total" "pop_native_coll" "pop_native_grad" "pop_immig_coll" "pop_immig_grad" "pop_native" "pop_immig" "pop_total"
2004 17 5662.39993333333 5662.39993333333 12696.3942 12012.3420333333 4528.40903333333 4528.40903333333 7851.9985 7851.9985 51695.7177666667 56939.6402333333 193416.7553 116793.724566667 35115.5286666667 43015.6234333333 132331.1799 91083.7728 1360224.29686667 424982.9055 223414.9527 78131.1521 1583639.24956667 503114.0576 4507441.73373333 784170.324133333 5291612.05786667 1851957.77026667 588222.002 310210.479866667 108635.358 6972790.9985 1187044.21186667 8159835.21036666
2005 17 6272.6944 6272.6944 15357.1184333333 14194.0653333333 6116.61563333333 5150.90603333333 9466.10376666667 8500.39416666667 70708.6500666667 79679.5191 220634.3388 142036.9909 45554.1277333333 51938.4884 148957.678233333 98902.1179333333 1477759.99846666 476528.304 247859.796166667 97492.6161333334 1725619.79463333 574020.920133333 4522487.83086667 788925.894633333 5311413.7255 1969568.45456666 635673.421333333 362671.3297 150388.169166667 6956156.9139 1244339.29676667 8200496.21066667
2006 17 6096.75113333333 6096.75113333333 14604.4832 13385.4555 10608.4706666667 10608.4706666667 16974.4917 16974.4917 83699.7203666667 87708.5548666667 237395.975766667 160436.0079 60137.1387666667 61714.4223 162621.214 116856.673966667 1577716.18003333 513866.286933333 279477.887966667 121851.561066667 1857194.068 635717.848 4628359.55226667 906032.485666666 5534392.03793333 2074701.74656667 673284.090566667 397831.983666667 171408.275233333 6979939.0457 1322852.88213333 8302791.92783333
2007 17 7723.9852 7723.9852 11817.2463333333 10724.5231333333 14804.5016666667 13876.3393666667 20675.1839333333 19747.0216333333 85702.8475 90509.0015333334 240100.581266667 165187.161133333 67385.9599 64254.981 172218.832533333 118449.0865 1565704.0816 483656.876033334 290667.919033333 131640.9409 1856372.00063333 615297.816933334 4670337.03856667 980705.147933334 5651042.1865 2053298.83643333 641934.559566667 405287.7424 176211.849033333 7020050.42143334 1450858.9342 8470909.35563334
2008 17 16468.3019666667 13074.5784666667 22613.8344333333 19220.1109333333 6843.7211 6843.7211 11070.3931 11070.3931 93733.9256 58509.4554333333 259832.588066667 129419.628766667 69587.8574 43021.2848666667 172572.960233333 96828.9088 1524016.0626 469739.983566667 269401.869033333 112609.142266667 1793417.93163333 582349.125833333 4540786.24913333 925652.767366667 5466439.0165 2029733.57806667 632047.1242 389252.216833333 152243.381033333 7037960.0584 1427411.8074 8465371.8658
2009 17 18592.7629666667 18592.7629666667 21573.0764 21573.0764 5759.83236666667 5759.83236666667 11511.6525666667 10528.9579666667 80681.8188666666 65835.8766 245960.162266667 142771.042566667 65912.7725333333 48943.7744 164787.549866667 100102.624033333 1548506.85173333 501365.181499999 264890.1739 114856.546933333 1813397.02563333 616221.728433333 4388332.4875 867467.476433333 5255799.96393333 2096296.44406667 683327.329933333 388731.204833333 146517.695466667 7099018.9381 1406326.77263333 8505345.71073333
2010 17 11399.0329666667 10445.4934333333 14205.0271666667 12311.9448 12692.9763333333 11661.1498 16095.6058666667 14012.1375 82623.8292 68491.2413 241372.507733333 141973.505633333 55171.4104666667 47433.5820666667 138085.430666667 91122.6196333333 1608420.02466667 525862.2058 229208.0503 102604.992533333 1837628.07496667 628467.198333333 4416735.90156667 855817.650533333 5272553.5521 2151693.81736667 693220.648033333 383346.013366667 151115.0705 7079966.41156667 1432316.4698 8512282.88136667
2000 18 2782.19713333333 2782.19713333333 2782.19713333333 2782.19713333333 1081.32623333333 1081.32623333333 1081.32623333333 1081.32623333333 13289.8342666667 10027.4551666667 26484.9464 14477.1479666667 10969.1342666667 10027.4551666667 15506.0629 12145.9872666667 568353.581233333 191804.775866667 27652.0501666667 20996.5894333333 596005.6314 212801.3653 2574331.6983 60068.2672 2634399.9655 710175.999166667 229015.097966667 40962.0943666667 23317.2894333333 3730685.9036 102198.388033333 3832884.29163333
2001 18 5020.90773333333 3860.66186666667 5020.90773333333 3860.66186666667 2095.91936666667 2095.91936666667 2987.529 2987.529 23640.1202666667 7877.07616666667 32271.6037666667 16518.1599 17988.7318333333 5113.0162 22292.9952 13013.5227666667 570788.842866667 188535.295333333 35306.5179666667 23101.7480333333 606095.360833333 211637.043366667 2590441.5408 77008.6669333334 2667450.20773333 714237.780533333 225131.5136 48789.7636666667 31517.1964333333 3762340.88233333 121580.686866667 3883921.5692
2002 18 7196.4021 5586.55796666667 7993.76686666667 6383.92273333333 0 0 0 0 23659.7734666667 4127.2619 35629.5509 12760.0675333333 16105.5635 2594.272 21430.9309333333 9688.5635 619444.786633333 208340.2917 31119.4944333333 18699.8355 650564.281066666 227040.1272 2617224.02073333 90130.0264 2707354.04713333 801798.1886 269170.037766667 48389.6184333333 27787.0353666667 3842898.23063333 133170.4464 3976068.67703333
2003 18 5988.08726666667 4876.78886666667 6755.6873 5644.3889 0 0 777.844166666667 777.844166666667 23402.1923333333 11298.0801333333 45558.5152666667 19096.8643 16054.1065666667 7302.40686666667 32135.0027333333 11301.2056333333 578533.871033333 180415.3454 43436.2083666667 23356.5134333333 621970.0794 203771.858833333 2555824.08006667 110047.8228 2665871.90286667 730443.327233333 230415.6632 64655.3795666667 34700.2724666667 3767011.52833334 177352.942266667 3944364.4706
2004 18 4237.95133333333 3545.33873333333 6460.71603333333 5768.10343333333 0 0 1028.7743 1028.7743 25114.7480666667 15134.0697666667 47767.2752666667 23885.2671666667 16495.9267 11012.1167333333 31267.2109666667 15414.4371666667 544395.9126 187822.224066667 46681.6481333333 27508.0434333333 591077.560733333 215330.2675 2510922.4445 119367.049366667 2630289.49386667 705597.869933333 234153.720933334 71652.5424333334 40248.8178333333 3773653.87553333 193601.6187 3967255.49423333
2005 18 2714.8241 2714.8241 7219.00556666667 7219.00556666667 1131.69566666667 1131.69566666667 2416.24336666667 2416.24336666667 15094.9768 9262.8123 35755.4749666667 18506.7979 7740.84246666667 8305.1038 25852.5630666667 16804.5359 567637.786266666 206927.2828 42657.0989666667 16045.9462666667 610294.885233333 222973.229066667 2585408.57576667 128039.793466667 2713448.36923333 745389.885933333 257929.0621 54262.2728666667 24357.7891 3894481.62243333 170140.9208 4064622.54323333
2006 18 2848.68246666667 2152.0708 4548.64636666667 3852.0347 1013.00646666667 1013.00646666667 3011.75583333333 2096.30476666667 10490.7271666667 7756.4314 27637.8765333333 14631.6770333333 6928.01546666667 6757.79583333333 19092.0855666667 10685.3745666667 584399.958866667 200959.191733333 29777.4601333333 13685.8113 614177.419 214645.003033333 2575081.50576667 127547.349 2702628.85476667 772152.252133334 264942.701633333 42269.5535666667 18247.1585666667 3948896.94066667 184881.0936 4133778.03426667
2007 18 4674.58743333333 4674.58743333333 6529.84496666667 6529.84496666667 2354.49153333333 2354.49153333333 4741.29843333333 4741.29843333333 16162.1830666667 5773.4654 32192.3242333333 14706.7053 9942.43106666667 3360.6457 21848.055 8017.13353333333 665347.731600001 212951.088 29865.1885333333 13303.0767666667 695212.920133334 226254.164766667 2578280.06816667 123046.328466667 2701326.39663334 872038.494233334 273634.1486 46899.0295333333 21935.6484666667 3942016.72596667 188558.104033333 4130574.83
2008 18 1831.73526666667 1831.73526666667 2676.91606666667 2676.91606666667 0 0 1201.32196666667 1201.32196666667 16204.2889 8715.97276666667 22838.1872666667 14909.9767666667 13286.1259333333 7134.56026666667 17022.6443333333 10463.2222666667 670553.1846 236094.113566667 27485.8666 20420.6862 698039.0512 256514.799766667 2594784.03383333 127957.2771 2722741.31093333 846776.528733333 295673.698266667 37748.1640333333 24920.2616666667 3940836.5762 186766.3344 4127602.9106
2009 18 0 0 973.9288 973.9288 0 0 1032.72986666667 1032.72986666667 9991.39723333333 8819.93666666667 21082.0325333333 18096.6036 8029.2976 7027.0173 11923.6925333333 16303.6842333333 613595.2094 217291.272466667 28227.3767666667 15056.3149 641822.586166667 232347.587366667 2395391.1676 121472.832533333 2516864.00013334 793630.1057 282398.252666667 39178.6361333333 18811.3339 3924644.42556667 198168.146933333 4122812.5725
2010 18 1938.9541 1938.9541 2973.67886666667 2973.67886666667 1250.31533333333 1250.31533333333 1250.31533333333 1250.31533333333 12829.4877 9321.51893333333 26916.2495333333 15859.9082 9969.48026666667 7193.38553333333 18424.7374666667 11383.8524333333 599836.691066667 199328.799533333 29808.5899 17162.8658 629645.280966667 216491.665333333 2337459.15276667 131623.904666667 2469083.05743333 811222.624766667 264716.061033333 42776.1577333333 22151.0066333333 3917761.73953333 205275.4419 4123037.18143333
2000 19 0 0 0 0 662.5366 662.5366 662.5366 662.5366 5907.3511 3794.6612 18897.7179333333 8067.6908 5907.3511 2494.8588 14789.3547666667 6079.1625 302745.9478 87161.3547 20868.5172666667 8402.2099 323614.465066667 95563.5646 1228745.36253333 78427.8760666666 1307173.2386 380042.7544 106284.3669 26965.4087333333 9702.0123 1698879.002 110943.3459 1809822.3479
2001 19 1994.85363333333 1994.85363333333 1994.85363333333 1994.85363333333 610.0438 610.0438 610.0438 610.0438 15096.9182333333 8327.08026666667 28212.1396666667 11178.2201333333 10831.3326666667 6236.3226 21096.1092 8046.607 322086.0087 86528.6599333333 29142.7162 17067.6552666667 351228.7249 103596.3152 1247538.1962 78881.4272666667 1326419.62346667 398633.4888 101843.489166667 39390.3598 23423.9985 1716884.5564 112218.738766667 1829103.29516667
2002 19 1628.26736666667 1628.26736666667 2400.9638 2400.9638 1112.42396666667 1112.42396666667 1112.42396666667 1112.42396666667 14970.6587 8285.76693333333 27237.7161 10851.4047666667 10298.9279666667 6425.6203 18174.0077 8540.89283333333 338464.565866667 80853.804 26714.9005333333 16724.5482666667 365179.4664 97578.3522666667 1273800.6332 76351.6451333333 1350152.27833333 413109.313466667 99227.1754 38089.1208666667 23256.4256333333 1750865.12056667 116731.5358 1867596.65636667
2003 19 1693.09233333333 1693.09233333333 3483.0132 3483.0132 0 0 451.1468 451.1468 15480.1689 7492.1636 25897.8754333333 9883.96166666666 12622.2361666667 5723.16403333333 20604.4056 7481.92743333333 329116.848566667 86325.8716666667 28086.3330333333 18345.4002 357203.1816 104671.271866667 1238347.34446667 84965.2758333333 1323312.6203 425184.168366667 109445.7593 35781.8371 22972.3325 1780662.6463 126567.759733333 1907230.40603333
2004 19 1836.29713333333 1836.29713333333 2904.2711 2904.2711 2846.1894 2846.1894 2846.1894 2846.1894 9435.4009 8843.7721 20564.6445333333 13073.7235 7899.99306666667 7435.65336666667 15806.4306333333 10142.2609 326167.306466667 80320.9382333334 25948.6915333333 15335.6464333333 352115.998 95656.5846666667 1232553.30696667 75122.2460333333 1307675.553 426798.130466666 105945.8979 33638.3680333333 18279.173 1776805.9681 103205.4768 1880011.4449
2005 19 2217.36556666667 1745.7399 3099.51233333333 2627.88666666667 929.2893 929.2893 929.2893 929.2893 5351.49493333333 5649.54533333333 13552.1698333333 9613.63973333333 3922.15683333333 5269.07393333333 10095.3778 6917.65966666667 343638.587933333 88801.2422333333 17013.0374666667 9191.23076666667 360651.6254 97992.473 1266086.11613333 67722.9220333333 1333809.03816667 431982.6311 112273.4187 23165.8095666667 11001.0402666667 1807446.63893333 106840.301133333 1914286.94006667
2006 19 1890.60356666667 1890.60356666667 2312.6773 2312.6773 2080.9463 2080.9463 2584.22546666667 2584.22546666667 10941.7559333333 5528.11553333333 23140.7592 12399.9161333333 8986.42403333333 5528.11553333333 16576.4479 9459.93756666667 336275.130233333 96211.8537333334 26036.3854666667 14514.5395666667 362311.5157 110726.3933 1293722.95166667 81084.8731666667 1374807.82483333 427368.128666667 118373.813 35540.6753333333 16469.8714666667 1827577.42153333 114520.931866667 1942098.3534
2007 19 1825.19676666667 1825.19676666667 2533.0752 2533.0752 423.6718 0 750.8312 327.1594 7081.45866666667 5229.15366666667 16344.3191666667 10292.2003666667 5875.94373333333 4135.53006666667 11732.7781666667 8011.84813333333 352160.185933333 97382.3110666667 19744.6263 10011.4738 371904.812233333 107393.784866667 1295026.31513333 80750.7391666667 1375777.0543 440648.635333333 120638.377666667 26636.5195333333 12310.6123333333 1805067.13593333 120191.1197 1925258.25563333
2008 19 3040.18863333333 3040.18863333333 3456.73746666667 3456.73746666667 782.1692 437.7392 1180.82363333333 437.7392 9544.36483333333 6038.6153 16638.5609 12384.4128666667 6767.83573333333 3231.85236666667 11595.6154 8036.91676666667 369019.488666667 93012.551 19632.5321666667 9999.6881 388652.020833333 103012.2391 1295847.28796667 92260.7486 1388108.03656667 463453.0354 117303.7352 29022.9737666667 15582.9801333333 1804197.14266667 133685.833 1937882.97566667
2009 19 2748.7181 2382.5187 3133.8989 2767.6995 402.8001 402.8001 1234.96646666667 719.8973 8298.45586666667 7403.40363333333 20300.5868 13494.3147 6397.3587 6467.62393333333 14186.233 9789.58513333333 348499.6232 90114.0749666667 23975.8181333333 12864.9826333333 372475.441333333 102979.0576 1245903.30283333 98698.6705 1344601.97333333 446101.669833333 115503.490833333 33794.9015 15701.8595 1803390.83066666 138030.0627 1941420.89336667
